applicant,2016,2017,2018,2019,2020,2021
Stichting stedelijk museum Amsterdam,0.0,12197372.0,12397349.0,0.0,0.0,
Stichting Nationale Opera & Ballet,,11343760.0,11527664.0,0.0,0.0,
stichting Amsterdam Museum,,8132412.0,8246331.0,0.0,0.0,
Stichting Internationaal Theater Amsterdam,,6423815.0,5901647.0,0.0,0.0,
Stichting Koninklijk Concertgebouworkest,,6160171.0,6246462.0,0.0,0.0,
stichting muziekschool Amsterdam,8012.0,3540631.25,3579576.0,0.0,0.0,
Stichting Toneelgroep Amsterdam,,3281341.0,3327305.0,,,
Stichting Muziekgebouw aan 't IJ,,2784012.0,2826679.0,0.0,0.0,
Stichting de Meervaart,78761.0,2695638.0,2745618.0,0.0,0.0,
Stichting Gasthuis Frascati,,2011033.0,2039203.0,0.0,0.0,
Stichting Cultuur+Ondernemen,,1695231.0,1718977.0,0.0,0.0,
Stichting Bijlmer Parktheater,,1396223.0,1319450.0,0.0,0.0,
Match Onderwijs en Cultuur Amsterdam,,1330727.0,1349367.0,0.0,0.0,
Het Concertgebouw N.V.,,1307840.0,1326161.0,0.0,0.0,
Muziekschool Noord,,1160310.0,1077636.0,1056903.0,0.0,
Stichting BIMHUIS,,1008700.0,1022830.0,0.0,0.0,
Stichting de Toneelmakerij,,907830.0,920547.0,0.0,7000.0,
Stichting Fotografie Museum Amsterdam,43175.0,903965.0,917589.0,49000.0,0.0,
Stichting Aslan Muziek Centrum,,864938.0,851253.0,0.0,0.0,
Stichting Leerorkest,40000.0,857564.0,768174.0,0.0,0.0,
Stichting Holland Festival,5000.0,786786.0,797807.0,14830.0,0.0,
Stichting De Balie Centrum voor Theater Politiek en Literatuur,,671068.0,680468.0,0.0,0.0,
Stichting International Choreographic Arts Centre (ICK),,665742.0,675068.0,0.0,0.0,
Stichting Paradiso Amsterdam,,655958.0,677834.5,0.0,0.0,
Stichting International Documentary Filmfestival Amsterdam,,605220.0,613698.0,0.0,0.0,
Stichting Muziekcentrum Zuidoost,,575000.0,430950.0,0.0,0.0,
Stichting Tolhuistuin,,554785.0,562556.0,0.0,0.0,
Stichting voor het Beheer van de Accomodatie Muziekgebouw/ Bimhuis,,487651.5,478828.0,0.0,0.0,
Combiwel Ondernemend Welzijn B.V.,503955.0,419480.0,,,,
ALTC Joy Jaagpad,,275000.0,,,,
(Particulier),153418.0,197048.9,232638.0,245889.62,104454.0,0.0
Stichting PodiumPartners,165500.0,172000.0,165000.0,6600.0,0.0,0.0
Stichting Jeugdtheaterschool Zuidoost,,150000.0,70000.0,0.0,0.0,
Stichting Meer Bewegen voor Ouderen,293721.79000000004,136940.56,223897.69,,,
Stichting Sciandri Vrijetijdsbesteding,111400.0,106500.0,424940.48,219138.58,,
Stichting Cliffordstudio,55000.0,105000.0,81738.0,22512.89,0.0,
christelijke sportvereniging Door Vriendschap Verenigd Amsterdam,,102500.0,,,,
Stichting IJ Producties,,100000.0,70000.0,,,
Stichting Imagine Identity and Culture,,80000.0,100000.0,0.0,0.0,0.0
Stichting DAT!school,,78500.0,0.0,,,
Stichting Multicultureel Podium Mozaiek,173015.0,75000.0,2850.0,0.0,0.0,
Sport op Maat,,73984.0,103193.7,0.0,,
Amsterdamse Hockey & Bandy Club,132322.45,73867.0,1365.0,48863.43,,
TV Tie-Breakers,,72269.0,,48160.0,,
Stichting The Beach,,65000.0,40000.0,,0.0,
Stichting Amsterdams Andalusisch Orkest,25000.0,60000.0,12500.0,57500.0,5000.0,
Stichting Tamino,,50000.0,42000.0,,,
Stichting Dutch Gospel Arts Institute,85000.0,50000.0,50000.0,0.0,0.0,
Stichting ZID,15000.0,50000.0,48360.0,30000.0,0.0,
Boks het voor Elkaar,,50000.0,31250.0,0.0,,
