count,mean,std,min,25%,50%,75%,max,year,area
221.0,14995.749638009052,23372.080073239642,500.0,4990.0,8000.0,15000.0,192000.0,2016.0,Culture
221.0,9424.098823529412,21685.899062501914,0.0,0.0,4400.0,10000.0,185000.0,2016.0,Culture
221.0,9405.57592760181,21688.075810524417,0.0,0.0,4400.0,10000.0,185000.0,2016.0,Culture
415.0,193329.08050602404,1060541.7245044247,500.0,5000.0,9300.0,15719.25,12197372.0,2017.0,Culture
415.0,189645.55804819273,1061162.0674012345,0.0,0.0,5000.0,12496.5,12197372.0,2017.0,Culture
415.0,187432.19901204816,1060885.1919633723,0.0,0.0,4900.0,11412.5,12197372.0,2017.0,Culture
392.0,206851.70043367345,1105632.1642097177,500.0,5000.0,9930.39,20000.0,12372349.0,2018.0,Culture
392.0,200664.92658163264,1097811.2121601664,0.0,0.0,5000.0,10125.0,12372349.0,2018.0,Culture
392.0,198381.67734693876,1097524.4831849025,0.0,0.0,5000.0,10000.0,12372349.0,2018.0,Culture
392.0,208366.8383928571,1170573.503564198,500.0,5000.0,8500.0,15000.0,12716854.0,2019.0,Culture
392.0,205244.41020408162,1171093.9483117203,0.0,0.0,5000.0,10717.01,12716854.0,2019.0,Culture
392.0,7318.763673469388,53603.5362230574,0.0,0.0,2494.315,6000.0,1056903.0,2019.0,Culture
387.0,239887.94338501288,1190253.1648294802,400.0,5000.0,9100.2,20000.0,12829508.0,2020.0,Culture
387.0,233471.86255813955,1190484.6457328985,0.0,0.0,5000.0,15000.0,12829508.0,2020.0,Culture
387.0,1059.54834625323,2189.4573107460014,0.0,0.0,0.0,617.5,20280.0,2020.0,Culture
78.0,38563.87487179488,71557.62621710607,700.0,4569.375,10000.0,31806.0,392058.0,2016.0,Sport
78.0,35191.752692307695,71620.05178775948,0.0,2924.25,9810.0,22376.5,392058.0,2016.0,Sport
78.0,34302.19756410256,71837.67139300122,0.0,2550.0,9465.0,20973.3625,392058.0,2016.0,Sport
66.0,40181.19409090909,71353.72684833557,617.33,3025.0,11967.11,29717.5,348787.0,2017.0,Sport
66.0,27945.41666666667,64404.422305597844,0.0,141.25,3247.0,14815.25,329787.0,2017.0,Sport
66.0,23369.083333333336,56729.797830207805,0.0,0.0,2000.0,14255.5,329787.0,2017.0,Sport
60.0,49353.07533333333,76611.44556873056,229.4,2839.55,15815.0,58961.125,301773.35,2018.0,Sport
60.0,39854.15116666666,67151.79492053417,0.0,1352.5,10176.0,38622.975,275000.0,2018.0,Sport
60.0,27253.272499999995,56728.580949376024,0.0,267.35,3511.5,25697.5,275000.0,2018.0,Sport
61.0,59492.474426229506,93109.37291276574,560.58,5000.0,16409.0,54996.0,488260.8,2019.0,Sport
61.0,35974.54655737705,64950.41242053933,0.0,0.0,5000.0,35962.0,271850.93,2019.0,Sport
61.0,13493.865737704917,36622.53578581378,0.0,0.0,0.0,5000.0,203886.58,2019.0,Sport
9.0,61356.07666666666,112853.09218202297,308.47,3066.3,10842.0,46000.0,348445.0,2020.0,Sport
9.0,45637.56333333333,84519.58832689823,0.0,0.0,3066.3,46000.0,250000.0,2020.0,Sport
9.0,340.70000000000005,1022.1000000000001,0.0,0.0,0.0,0.0,3066.3,2020.0,Sport
